Item,	Section	Bed,	Water Shedule,	Date Planted,	Date Projected Harvest,	Notes
"Mana ‘ulu", A, 1, , , , [UHWO]
"‘O‘pūkai",  A, 1, , , , Obtained from HBS
"Lauloa palakea papamu", A, 1, , , , [UHWO]
"Lauloa palakea ‘ele’ele", A, 1, , , , [UHWO]
"Piko ‘ele‘ele", A, 1, , , , Obtained from JMK
"Piko ‘uli‘uli", B, 6, , , , Obtained from HBS
"‘Elepaio ha‘uli’uli or ‘Elepaio hākea", C, 11, , , , [UHWO]
"Kapa’aloa", A, 1, , , , [UHWO]
"Filipino", D, 7, , , , Obtained from Zeus
"‘Ula’ula poni", B, 6, , , , [UHWO]
"‘Ula’ula poni", D, 7, , , , [UHWO]
"‘Ula’ula poni", C, 11, , , , [UHWO]
"‘Ula’ula Moano", C, 11, , , , Obtained from HBS
"‘Ula’ula Moano", A, 1, , , , Obtained from HBS
"Moi? Or Moi ‘ula’ula", D, 4, , , , [UHWO]
"Moi? Or Moi ‘ula’ula", D, 3, , , , [UHWO]
"Xanthosoma sagittifolium - Puerto Rican yautía (also known as malanga)", C, 9, , , , [UHWO]
"Faʻausi", B, 7, , , , [UHWO]
"Faʻausi", D, 3, , , , [UHWO]
"New Cal", C, 11, , , , [UWHO]
"New Cal", D, 4, , , , [UWHO]
"‘Iliuaua and/or Piko Uaua",  ?, ?, , , , [UHWO]
"Kumu ‘ele‘ele", ?, ?, , , , Obtained from HBS
"Manini 'owali", ?, ?, , , , Obtained from HBS
"Pi‘i ali‘i", ?, ?, , , , Obtained from HBS
"‘Ele‘ele naioea", ?, ?, , , , Obtained from HBS
"Hāpu‘u",  ?, ?, , , , Obtained from HBS
"Kalalau", ?, ?, , , , [UHWO]
